c_mot;c_lemme;c_morpho
bascules;basculer;ver
basculés;basculer;ver
basculez;basculer;ver
basculions;basculer;ver
base;base;nom
basé;baser;ver
base_ball;base_ball;nom
baseball;baseball;nom
basée;baser;ver
basées;baser;ver
basent;baser;ver
baser;baser;ver
basera;baser;ver
baseront;baser;ver
bases;base;nom
basés;baser;ver
basez;baser;ver
basic;basic;nom
basilaire;basilaire;adj
basileus;basileus;nom
basilic;basilic;nom
basilicum;basilicum;nom
basilique;basilique;nom
basiliques;basilique;nom
basin;basin;nom
basique;basique;adj
basiques;basique;adj
basket;basket;nom
basket_ball;basket_ball;nom
baskets;basket;nom
basketteur;basketteur;nom
basketteurs;basketteur;nom
basketteuse;basketteur;nom
basketteuses;basketteur;nom
basmati;basmati;nom
basoche;basoche;nom
basons;baser;ver
basquaise;basquais;adj
basque;basque;adj
basques;basque;nom
bassa;bassa;nom
bassas;bassa;nom
basse;bas;adj
basse_cour;basse_cour;nom
basse_cour;basse_cour;nom
basse_fosse;basse_fosse;nom
basse_fosse;basse_fosse;nom
basse_taille;basse_taille;nom
bassement;bassement;adv
basses;bas;adj
bassesse;bassesse;nom
bassesses;bassesse;nom
basset;basset;nom
bassets;basset;nom
bassette;bassette;nom
bassin;bassin;nom
bassinaient;bassiner;ver
bassinais;bassiner;ver
bassinait;bassiner;ver
bassinant;bassiner;ver
bassine;bassine;nom
bassiné;bassiner;ver
bassiner;bassiner;ver
bassines;bassine;nom
bassinet;bassinet;nom
bassinez;bassiner;ver
bassinoire;bassinoire;nom
bassinoires;bassinoire;nom
bassins;bassin;nom
bassiste;bassiste;nom
bassistes;bassiste;nom
basson;basson;nom
basta;basta;ono
baste;baste;ono
baster;baster;ver
bastide;bastide;nom
bastides;bastide;nom
bastille;bastille;nom
bastilles;bastille;nom
bastingage;bastingage;nom
bastingages;bastingage;nom
bastion;bastion;nom
bastionnée;bastionner;ver
bastions;bastion;nom
baston;baston;nom
bastonnade;bastonnade;nom
bastonnades;bastonnade;nom
bastonne;bastonner;ver
bastonné;bastonner;ver
bastonnée;bastonner;ver
bastonnent;bastonner;ver
bastonner;bastonner;ver
bastonnés;bastonner;ver
bastonneurs;bastonneur;nom
bastons;baston;nom
bastos;bastos;nom
bastringue;bastringue;nom
bastringues;bastringue;nom
bat;battre;ver
bât;bât;nom
bat_flanc;bat_flanc;nom
bat_l_eau;bat_l_eau;nom
bataclan;bataclan;nom
batailla;batailler;ver
bataillait;batailler;ver
bataillant;batailler;ver
bataille;bataille;nom
bataillé;batailler;ver
bataillent;batailler;ver
batailler;batailler;ver
bataillèrent;batailler;ver
batailles;bataille;nom
bataillés;batailler;ver
batailleur;batailleur;nom
batailleurs;batailleur;adj
batailleuse;batailleur;adj
batailleuses;batailleur;adj
bataillon;bataillon;nom
bataillonnaire;bataillonnaire;nom
bataillonnaires;bataillonnaire;nom
bataillons;bataillon;nom
batak;batak;nom
bâtard;bâtard;nom
bâtarde;bâtard;nom
batardeau;batardeau;nom
bâtardes;bâtard;adj
bâtardise;bâtardise;nom
bâtardises;bâtardise;nom
bâtards;bâtard;nom
batave;batave;adj
bataves;batave;adj
bâté;bâté;adj
bateau;bateau;nom
bateau_citerne;bateau_citerne;nom
bateau_lavoir;bateau_lavoir;nom
bateau_lavoir;bateau_lavoir;nom
bateau_mouche;bateau_mouche;nom
bateau_mouche;bateau_mouche;nom
bateau_pilote;bateau_pilote;nom
bateau_pompe;bateau_pompe;nom
bateaux;bateau;nom
batée;batée;nom
batelets;batelet;nom
bateleur;bateleur;nom
bateleurs;bateleur;nom
batelier;batelier;nom
bateliers;batelier;nom
batellerie;batellerie;nom
bâter;bâter;ver
bâtés;bâté;adj
bath;bath;adj
bathyale;bathyal;adj
bathymètre;bathymètre;nom
bathymétrique;bathymétrique;adj
bathyscaphe;bathyscaphe;nom
bathysphère;bathysphère;nom
bâti;bâtir;ver
bâtie;bâtir;ver
bâtière;bâtier;nom
bâties;bâtir;ver
batifola;batifoler;ver
batifolage;batifolage;nom
batifolages;batifolage;nom
batifolaient;batifoler;ver
batifolais;batifoler;ver
batifolait;batifoler;ver
batifolant;batifoler;ver
batifole;batifoler;ver
batifolé;batifoler;ver
batifolent;batifoler;ver
batifoler;batifoler;ver
batifoles;batifoler;ver
batifoleurs;batifoleur;nom
batifolez;batifoler;ver
batik;batik;nom
bâtiment;bâtiment;nom
bâtiments;bâtiment;nom
bâtir;bâtir;ver
bâtira;bâtir;ver
bâtirai;bâtir;ver
bâtirais;bâtir;ver
bâtirait;bâtir;ver
bâtirent;bâtir;ver
bâtirions;bâtir;ver
bâtirons;bâtir;ver
bâtiront;bâtir;ver
bâtis;bâtir;ver
bâtissaient;bâtir;ver
bâtissais;bâtir;ver
bâtissait;bâtir;ver
bâtissant;bâtir;ver
bâtisse;bâtisse;nom
bâtissent;bâtir;ver
bâtisses;bâtisse;nom
bâtisseur;bâtisseur;nom
bâtisseurs;bâtisseur;nom
bâtisseuse;bâtisseur;nom
bâtissez;bâtir;ver
bâtissions;bâtir;ver
bâtissons;bâtir;ver
batiste;batiste;nom
bâtit;bâtir;ver
bâton;bâton;nom
bâtonnant;bâtonner;ver
bâtonnée;bâtonner;ver
bâtonner;bâtonner;ver
bâtonnet;bâtonnet;nom
bâtonnets;bâtonnet;nom
bâtonnier;bâtonnier;nom
bâtons;bâton;nom
batracien;batracien;nom
batracienne;batracien;adj
batraciens;batracien;nom
bats;battre;ver
bâts;bât;nom
battage;battage;nom
battages;battage;nom
battaient;battre;ver
battais;battre;ver
battait;battre;ver
battant;battre;ver
battante;battant;nom
battantes;battant;adj
battants;battant;nom
batte;batte;nom
battement;battement;nom
battements;battement;nom
battent;battre;ver
batterie;batterie;nom
batteries;batterie;nom
battes;battre;ver
batteur;batteur;nom
batteurs;batteur;nom
batteuse;batteur;nom
batteuses;batteur;nom
battez;battre;ver
battiez;battre;ver
battîmes;battre;ver
battions;battre;ver
battirent;battre;ver
battis;battre;ver
battit;battre;ver
battît;battre;ver
battle_dress;battle_dress;nom
battoir;battoir;nom
battoires;battoire;nom
battoirs;battoir;nom
battons;battre;ver
battra;battre;ver
battrai;battre;ver
battraient;battre;ver
battrais;battre;ver
battrait;battre;ver
battras;battre;ver
battre;battre;ver
battrez;battre;ver
battriez;battre;ver
battrions;battre;ver
battrons;battre;ver
battront;battre;ver
battu;battre;ver
battue;battre;ver
battues;battre;ver
battus;battre;ver
bau;bau;nom
baud;baud;nom
baudelairien;baudelairien;adj
baudelairiennes;baudelairien;adj
baudelairiens;baudelairien;adj
baudet;baudet;nom
baudets;baudet;nom
baudrier;baudrier;nom
baudriers;baudrier;nom
baudroie;baudroie;nom
baudroies;baudroie;nom
baudruche;baudruche;nom
baudruches;baudruche;nom
bauge;bauge;nom
baugé;bauger;ver
bauges;bauge;nom
baume;baume;nom
baumes;baume;nom
baumier;baumier;nom
baumiers;baumier;nom
baux;bail;nom
bauxite;bauxite;nom
bava;baver;ver
bavaient;baver;ver
bavais;baver;ver
bavait;baver;ver
bavant;baver;ver
bavard;bavard;adj
bavarda;bavarder;ver
bavardage;bavardage;nom
bavardages;bavardage;nom
bavardai;bavarder;ver
bavardaient;bavarder;ver
bavardais;bavarder;ver
bavardait;bavarder;ver
bavardant;bavarder;ver
bavarde;bavarder;ver
bavardé;bavarder;ver
bavardent;bavarder;ver
bavarder;bavarder;ver
bavardera;bavarder;ver
bavarderai;bavarder;ver
bavarderait;bavarder;ver
bavarderas;bavarder;ver
bavardèrent;bavarder;ver
bavarderons;bavarder;ver
bavardes;bavard;adj
bavardez;bavarder;ver
bavardiez;bavarder;ver
bavardions;bavarder;ver
bavardons;bavarder;ver
bavards;bavard;adj
bavarois;bavarois;adj
bavaroise;bavarois;adj
bavaroises;bavarois;adj
bavassaient;bavasser;ver
bavassait;bavasser;ver
bavassant;bavasser;ver
bavasse;bavasser;ver
bavassé;bavasser;ver
bavassent;bavasser;ver
bavasser;bavasser;ver
bavasses;bavasser;ver
bavasseur;bavasseur;adj
bavassiez;bavasser;ver
bave;bave;nom
bavé;baver;ver
bavent;baver;ver
baver;baver;ver
baverais;baver;ver
baveras;baver;ver
baverez;baver;ver
baveront;baver;ver
baves;baver;ver
bavette;bavette;nom
bavettes;bavette;nom
baveur;baveur;adj
baveurs;baveur;adj
baveuse;baveux;adj
baveuses;baveux;adj
baveux;baveux;adj
bavez;baver;ver
bavocher;bavocher;ver
bavoir;bavoir;nom
bavoirs;bavoir;nom
bavons;baver;ver
bavotait;bavoter;ver
bavotant;bavoter;ver
bavure;bavure;nom
bavures;bavure;nom
bayadère;bayadère;nom
bayadères;bayadère;nom
bayaient;bayer;ver
bayant;bayer;ver
bayard;bayard;nom
baye;bayer;ver
bayé;bayer;ver
bayer;bayer;ver
bayons;bayer;ver
bayou;bayou;nom
bayous;bayou;nom
bazar;bazar;nom
bazard;bazard;nom
bazardait;bazarder;ver
bazardant;bazarder;ver
bazarde;bazarder;ver
bazardé;bazarder;ver
bazardée;bazarder;ver
bazardées;bazarder;ver
bazarder;bazarder;ver
bazarderez;bazarder;ver
bazardes;bazarder;ver
bazardeur;bazardeur;nom
bazars;bazar;nom
bazooka;bazooka;nom
bazookas;bazooka;nom
bcbg;bcbg;adj
bé;bé;ono
be_bop;be_bop;nom
béa;béer;ver
beagle;beagle;nom
beagles;beagle;nom
béaient;béer;ver
béait;béer;ver
béance;béance;nom
béant;béant;adj
béante;béant;adj
béantes;béant;adj
béants;béant;adj
béarnais;béarnais;adj
béarnaise;béarnais;adj
beat;beat;adj
béat;béat;adj
beat_generation;beat_generation;nom
béate;béat;adj
béatement;béatement;adv
béates;béat;adj
béatification;béatification;nom
béatifications;béatification;nom
béatifié;béatifier;ver
béatifiée;béatifier;ver
béatifier;béatifier;ver
béatifiés;béatifier;ver
béatifique;béatifique;adj
béatitude;béatitude;nom
béatitudes;béatitude;nom
beatnik;beatnik;nom
beatniks;beatnik;nom
béats;béat;adj
beau;beau;adj
beau_fils;beau_fils;nom
beau_fils;beau_fils;nom
beau_frère;beau_frère;nom
beau_frère;beau_frère;nom
beau_frère;beau_frère;nom
beau_frère;beau_frère;nom
beau_papa;beau_papa;nom
beau_parent;beau_parent;nom
beau_père;beau_père;nom
beau_père;beau_père;nom
beau_père;beau_père;nom
beauceron;beauceron;adj
beauceronne;beauceron;adj
beauceronnes;beauceron;adj
beaucerons;beauceron;adj
beaucoup;beaucoup;adv_sup
beauf;beauf;nom
beaufs;beauf;nom
beaujolais;beaujolais;nom
beaujolpif;beaujolpif;nom
beaupré;beaupré;nom
beauté;beauté;nom
beautés;beauté;nom
beauvais;beauvais;nom
beaux;beau;adj
beaux_arts;beaux_arts;nom
beaux_enfants;beaux_enfants;nom
beaux_parents;beaux_parents;nom
bébé;bébé;nom
bébé_éprouvette;bébé_éprouvette;nom
bébés;bébé;nom
bébête;bébête;adj
bébêtes;bébête;adj
bec;bec;nom
bec_de_cane;bec_de_cane;nom
bec_de_lièvre;bec_de_lièvre;nom
bécabunga;bécabunga;nom
bécane;bécane;nom
bécanes;bécane;nom
bécard;bécard;nom
bécarre;bécarre;nom
bécasse;bécasse;nom
bécasses;bécasse;nom
bécassine;bécassine;nom
bécassines;bécassine;nom
because;because;con
becfigue;becfigue;nom
becfigues;becfigue;nom
bêchaient;bêcher;ver
bêchait;bêcher;ver
béchamel;béchamel;nom
bêchant;bêcher;ver
bêche;bêche;nom
bêché;bêcher;ver
bêchent;bêcher;ver
bécher;bécher;nom
bêcher;bêcher;ver
bêches;bêche;nom
bêcheur;bêcheur;adj
bêcheurs;bêcheur;nom
bêcheuse;bêcheur;adj
bêcheuses;bêcheur;nom
bécot;bécot;nom
bécotait;bécoter;ver
bécotant;bécoter;ver
bécote;bécoter;ver
bécoté;bécoter;ver
bécotée;bécoter;ver
bécotent;bécoter;ver
bécoter;bécoter;ver
bécotés;bécoter;ver
bécoteur;bécoteur;nom
bécots;bécot;nom
becquant;becquer;ver
becqué;becquer;ver
becquée;becquée;nom
becquer;becquer;ver
becquet;becquet;nom
becquetaient;becqueter;ver
becquetait;becqueter;ver
becquetance;becquetance;nom
becquetant;becqueter;ver
becqueté;becqueter;ver
becqueter;becqueter;ver
becquetés;becqueter;ver
becquets;becquet;nom
becquette;becqueter;ver
becs;bec;nom
becta;becter;ver
bectais;becter;ver
bectait;becter;ver
bectance;bectance;nom
bectant;becter;ver
becte;becter;ver
becté;becter;ver
bectées;becter;ver
bectent;becter;ver
becter;becter;ver
becterais;becter;ver
becteras;becter;ver
bectés;becter;ver
bedaine;bedaine;nom
bedaines;bedaine;nom
bédane;bédane;nom
bédé;bédé;nom
bedeau;bedeau;nom
bedeaux;bedeau;nom
bédéphiles;bédéphile;nom
bédés;bédé;nom
bedon;bedon;nom
bedonnant;bedonnant;adj
bedonnante;bedonnant;adj
bedonnantes;bedonnant;adj
bedonnants;bedonnant;adj
bedonne;bedonner;ver
bedons;bedon;nom
bédouin;bédouin;adj
bédouine;bédouin;nom
bédouines;bédouin;nom
bédouins;bédouin;nom
bée;bé;adj
béé;béer;ver
béée;béer;ver
beefsteak;beefsteak;nom
beefsteaks;beefsteak;nom
béent;béer;ver
beeper;beeper;nom
béer;béer;ver
béèrent;béer;ver
bées;bé;adj
beethovénien;beethovénien;adj
beffroi;beffroi;nom
bégaie;bégayer;ver
bégaiement;bégaiement;nom
bégaiements;bégaiement;nom
bégaient;bégayer;ver
bégaiera;bégayer;ver
bégaies;bégayer;ver
bégaya;bégayer;ver
bégayai;bégayer;ver
bégayaient;bégayer;ver
bégayais;bégayer;ver
bégayait;bégayer;ver
bégayant;bégayer;ver
bégayante;bégayant;adj
bégayantes;bégayant;adj
bégayants;bégayant;adj
bégaye;bégayer;ver
bégayé;bégayer;ver
bégayées;bégayer;ver
bégayer;bégayer;ver
bégayes;bégayer;ver
bégayeur;bégayeur;adj
bégayez;bégayer;ver
bégonias;bégonia;nom
bègue;bègue;nom
bègues;bègue;nom
bégueule;bégueule;nom
bégueulerie;bégueulerie;nom
bégueules;bégueule;nom
béguin;béguin;nom
béguinage;béguinage;nom
béguine;béguine;nom
béguineuse;béguineuse;nom
béguins;béguin;nom
bégum;bégum;nom
behavioriste;behavioriste;nom
behavioriste;behavioriste;adj
béhème;béhème;nom
béhémoth;béhémoth;nom
beige;beige;adj
beigeasses;beigeasse;adj
beiges;beige;nom
beigne;beigne;nom
beignes;beigne;nom
beignet;beignet;nom
beignets;beignet;nom
béjaune;béjaune;nom
bel;bel;adj
bel_canto;bel_canto;nom
bêlaient;bêler;ver
bêlait;bêler;ver
bêlant;bêler;ver
bêlantes;bêlant;adj
bêlants;bêlant;adj
bêle;bêler;ver
bêlé;bêler;ver
bêlement;bêlement;nom
bêlements;bêlement;nom
bêlent;bêler;ver
bêler;bêler;ver
belette;belette;nom
belettes;belette;nom
belge;belge;adj
belges;belge;nom
belgicains;belgicain;nom
belgique;belgique;nom
bélier;bélier;nom
béliers;bélier;nom
bélinogramme;bélinogramme;nom
bélître;bélître;nom
belladone;belladone;nom
belladones;belladone;nom
bellâtre;bellâtre;nom
belle;beau;adj
belle_à_voir;belle_à_voir;nom
belle_de_jour;belle_de_jour;nom
belle_de_nuit;belle_de_nuit;nom
belle_doche;belle_doche;nom
belle_famille;belle_famille;nom
belle_famille;belle_famille;nom
belle_fille;belle_fille;nom
belle_fille;belle_fille;nom
belle_lettre;belle_lettre;nom
belle_lurette;belle_lurette;nom
belle_maman;belle_maman;nom
bellement;bellement;adv
belles;beau;adj
bellevillois;bellevillois;adj
bellevilloise;bellevillois;adj
belliciste;belliciste;nom
bellicistes;belliciste;adj
belligérance;belligérance;nom
belligérant;belligérant;adj
belligérante;belligérant;adj
belligérantes;belligérant;adj
belligérants;belligérant;nom
belliqueuse;belliqueux;adj
belliqueusement;belliqueusement;adv
belliqueuses;belliqueux;adj
belliqueux;belliqueux;adj
bellissime;bellissime;adj
bellot;bellot;adj
belluaire;belluaire;nom
belon;belon;nom
belons;belon;nom
belote;belote;nom
beloter;beloter;ver
belotes;belote;nom
beloteurs;beloteur;nom
belotte;belotter;ver
bélouga;bélouga;nom
beluga;beluga;nom
béluga;béluga;nom
belvédère;belvédère;nom
belvédères;belvédère;nom
bémol;bémol;nom
bémolisé;bémoliser;ver
bémols;bémol;nom
ben;ben;nom_sup
bénard;bénard;nom
bénarde;bénard;adj
bénards;bénard;nom
bénédicité;bénédicité;nom
bénédicités;bénédicité;nom
bénédictin;bénédictin;adj
bénédictine;bénédictin;nom
bénédictines;bénédictin;nom
bénédictins;bénédictin;nom
bénédiction;bénédiction;nom
bénédictions;bénédiction;nom
benedictus;benedictus;nom
bénef;bénef;nom
bénéfice;bénéfice;nom
bénéfices;bénéfice;nom
bénéficia;bénéficier;ver
bénéficiaient;bénéficier;ver
bénéficiaire;bénéficiaire;nom
bénéficiaires;bénéficiaire;nom
bénéficiais;bénéficier;ver
bénéficiait;bénéficier;ver
bénéficiant;bénéficier;ver
bénéficiât;bénéficier;ver
bénéficie;bénéficier;ver
bénéficié;bénéficier;ver
bénéficient;bénéficier;ver
bénéficier;bénéficier;ver
bénéficiera;bénéficier;ver
bénéficierai;bénéficier;ver
bénéficierais;bénéficier;ver
bénéficierait;bénéficier;ver
bénéficièrent;bénéficier;ver
bénéficierez;bénéficier;ver
bénéficierons;bénéficier;ver
bénéficies;bénéficier;ver
bénéficiez;bénéficier;ver
bénéficions;bénéficier;ver
bénéfique;bénéfique;adj
bénéfiques;bénéfique;adj
bénefs;bénef;nom
benêt;benêt;nom
benêts;benêt;nom
bénévolat;bénévolat;nom
bénévole;bénévole;adj
bénévolement;bénévolement;adv
bénévolence;bénévolence;nom
bénévoles;bénévole;nom
bengalais;bengalais;nom
bengali;bengali;nom
bengalis;bengali;nom
béni;bénir;ver
bénie;bénir;ver
bénies;bénir;ver
bénigne;bénin;adj
bénignement;bénignement;adv
bénignes;bénin;adj
bénignité;bénignité;nom
bénin;bénin;adj
béninois;béninois;adj
bénins;bénin;adj
bénir;bénir;ver
bénira;bénir;ver
bénirai;bénir;ver
bénirais;bénir;ver
bénirait;bénir;ver
béniras;bénir;ver
bénirez;bénir;ver
bénirons;bénir;ver
béniront;bénir;ver
bénis;bénir;ver
bénissaient;bénir;ver
bénissais;bénir;ver
bénissait;bénir;ver
bénissant;bénir;ver
bénisse;bénir;ver
bénissent;bénir;ver
bénisseur;bénisseur;adj
bénisseurs;bénisseur;adj
bénisseuse;bénisseur;adj
bénissez;bénir;ver
bénissions;bénir;ver
bénissons;bénir;ver
bénit;bénit;adj
bénite;bénit;adj
bénites;bénit;adj
bénitier;bénitier;nom
bénitiers;bénitier;nom
bénits;bénit;adj
benjamin;benjamin;nom
benjamine;benjamin;nom
benjamins;benjamin;nom
benjoin;benjoin;nom
benne;benne;nom
bennes;benne;nom
benoît;benoît;adj
benoîte;benoît;adj
benoîtement;benoîtement;adv
bénouze;bénouze;nom
benthique;benthique;adj
benzédrine;benzédrine;nom
benzène;benzène;nom
benzidine;benzidine;nom
benzine;benzine;nom
benzoate;benzoate;nom
benzodiazépine;benzodiazépine;nom
benzonaphtol;benzonaphtol;nom
benzylique;benzylique;adj
béotien;béotien;nom
béotienne;béotien;adj
béotiens;béotien;adj
béquant;béquer;ver
béquillant;béquiller;ver
béquillard;béquillard;adj
béquille;béquille;nom
béquillent;béquiller;ver
béquilles;béquille;nom
béquilleux;béquilleux;adj
ber;ber;nom
berbère;berbère;adj
berbères;berbère;adj
berça;bercer;ver
berçaient;bercer;ver
bercail;bercail;nom
berçais;bercer;ver
berçait;bercer;ver
berçant;bercer;ver
berce;bercer;ver
bercé;bercer;ver
berceau;berceau;nom
berceaux;berceau;nom
bercée;bercer;ver
bercelonnette;bercelonnette;nom
bercement;bercement;nom
bercements;bercement;nom
bercent;bercer;ver
bercer;bercer;ver
bercera;bercer;ver
bercerai;bercer;ver
bercerait;bercer;ver
bercèrent;bercer;ver
bercerez;bercer;ver
berces;bercer;ver
bercés;bercer;ver
berceur;berceur;adj
berceurs;berceur;adj
berceuse;berceur;nom
berceuses;berceur;nom
bercez;bercer;ver
berdouillette;berdouillette;nom
béret;béret;nom
bérets;béret;nom
bérézina;bérézina;nom
berg;berg;nom
bergamasques;bergamasque;nom
bergamote;bergamote;nom
berge;berge;nom
berger;berger;nom
bergère;berger;nom
bergères;berger;nom
bergerie;bergerie;nom
bergeries;bergerie;nom
bergeronnette;bergeronnette;nom
bergeronnettes;bergeronnette;nom
bergers;berger;nom
berges;berge;nom
béribéri;béribéri;nom
berk;berk;ono
berle;berle;nom
berlin;berlin;nom
berline;berline;nom
berlines;berline;nom
berlingot;berlingot;nom
berlingots;berlingot;nom
berlingue;berlingue;nom
berlinois;berlinois;adj
berlinoise;berlinois;adj
berlinoises;berlinois;nom
berloque;berloque;nom
berlue;berlue;nom
berlues;berlue;nom
berlurais;berlurer;ver
berlurait;berlurer;ver
berlure;berlure;nom
berluré;berlurer;ver
berlurée;berlurer;ver
berlurent;berlurer;ver
berlurer;berlurer;ver
berlures;berlure;nom
berme;berme;nom
bermes;berme;nom
bermuda;bermuda;nom
bermudas;bermuda;nom
bernache;bernache;nom
bernaches;bernache;nom
bernait;berner;ver
bernant;berner;ver
bernard_l_ermite;bernard_l_ermite;nom
bernard_l_hermite;bernard_l_hermite;nom
bernardines;bernardin;nom
berne;berner;ver
berné;berner;ver
bernée;berner;ver
bernées;berner;ver
berner;berner;ver
berneras;berner;ver
bernés;berner;ver
bernez;berner;ver
bernicle;bernicle;nom
bernicles;bernicle;nom
bernique;bernique;ono
berniques;bernique;nom
bernois;bernois;adj
bernoise;bernois;nom
bernoises;bernois;adj
berrichon;berrichon;adj
berrichonne;berrichon;adj
bersaglier;bersaglier;nom
bersagliers;bersaglier;nom
bertha;bertha;nom
berthas;bertha;nom
berthe;berthe;nom
bérullienne;bérullien;nom
béryl;béryl;nom
béryllium;béryllium;nom
béryls;béryl;nom
berzingue;berzingue;nom
besace;besace;nom
besaces;besace;nom
besaiguë;besaiguë;nom
besant;besant;nom
besants;besant;nom
besef;besef;adv
bésef;bésef;adv
bésiclard;bésiclard;nom
besicles;besicles;nom
bésicles;bésicles;nom
bésigue;bésigue;nom
besogna;besogner;ver
besognaient;besogner;ver
besognais;besogner;ver
besognait;besogner;ver
besognant;besogner;ver
besogne;besogne;nom
besogné;besogner;ver
besognent;besogner;ver
besogner;besogner;ver
besogneras;besogner;ver
besognèrent;besogner;ver
besognes;besogne;nom
besogneuse;besogneux;adj
besogneuses;besogneux;adj
besogneux;besogneux;nom
besoin;besoin;nom
besoins;besoin;nom
besson;besson;nom
bessons;besson;nom
best;best;nom
best_of;best_of;nom
best_seller;best_seller;nom
best_seller;best_seller;nom
bestiaire;bestiaire;nom
bestiaires;bestiaire;nom
bestial;bestial;adj
bestiale;bestial;adj
bestialement;bestialement;adv
bestiales;bestial;adj
bestialité;bestialité;nom
bestialités;bestialité;nom
bestiasse;bestiasse;nom
bestiau;bestiau;nom
bestiaux;bestiau;nom
bestiole;bestiole;nom
bestioles;bestiole;nom
bêta;bêta;nom
bétail;bétail;nom
bétaillère;bétaillère;nom
bétaillères;bétaillère;nom
bétails;bétail;nom
bêtas;bêta;nom
bêtasse;bêta;nom
bêtasses;bêta;adj
bêtatron;bêtatron;nom
bête;bête;adj
bétel;bétel;nom
bêtement;bêtement;adv
bêtes;bête;nom
bêtifia;bêtifier;ver
bêtifiaient;bêtifier;ver
bêtifiais;bêtifier;ver
bêtifiait;bêtifier;ver
bêtifiant;bêtifiant;adj
bêtifie;bêtifier;ver
bêtifié;bêtifier;ver
bêtifier;bêtifier;ver
bêtise;bêtise;nom
bêtises;bêtise;nom
bêtisier;bêtisier;nom
bétoine;bétoine;nom
béton;béton;nom
bétonnage;bétonnage;nom
bétonnaient;bétonner;ver
bétonné;bétonner;ver
bétonnée;bétonné;adj
bétonnées;bétonné;adj
bétonner;bétonner;ver
bétonnés;bétonné;adj
bétonneurs;bétonneur;nom
bétonneuse;bétonneur;nom
bétonneuses;bétonneur;nom
bétonnière;bétonnière;nom
bétonnières;bétonnière;nom
bétons;béton;nom
bette;bette;nom
betterave;betterave;nom
betteraves;betterave;nom
betteravier;betteravier;nom
bettes;bette;nom
betting;betting;nom
beu;beu;ono
beuark;beuark;ono
beugla;beugler;ver
beuglaient;beugler;ver
beuglais;beugler;ver
beuglait;beugler;ver
beuglant;beugler;ver
beuglante;beuglant;nom
beuglantes;beuglant;nom
beuglants;beuglant;nom
beugle;beugler;ver
beuglé;beugler;ver
beuglée;beugler;ver
beuglement;beuglement;nom
beuglements;beuglement;nom
beuglent;beugler;ver
beugler;beugler;ver
beuglions;beugler;ver
beuh;beuh;adv
beur;beur;adj
beurk;beurk;ono
beurra;beurrer;ver
beurrage;beurrage;nom
beurraient;beurrer;ver
beurrais;beurrer;ver
beurrait;beurrer;ver
beurrant;beurrer;ver
beurre;beurre;nom
beurré;beurré;adj
beurrée;beurré;adj
beurrées;beurré;adj
beurrer;beurrer;ver
beurres;beurre;nom
beurrés;beurré;adj
beurrier;beurrier;nom
beuverie;beuverie;nom
beuveries;beuverie;nom
bévue;bévue;nom
bévues;bévue;nom
bey;bey;nom
bezef;bezef;adv
bézef;bézef;adv
bézoard;bézoard;nom
bi;bi;nom
biafrais;biafrais;nom
biais;biais;nom
biaisai;biaiser;ver
biaise;biaiser;ver
biaisé;biaisé;adj
biaisée;biaiser;ver
biaisements;biaisement;nom
biaiser;biaiser;ver
biaises;biais;adj
biathlon;biathlon;nom
bib;bib;nom
bibard;bibard;nom
bibelot;bibelot;nom
bibelots;bibelot;nom
bibendum;bibendum;nom
biberon;biberon;nom
biberonnait;biberonner;ver
biberonne;biberonner;ver
biberonné;biberonner;ver
biberonner;biberonner;ver
biberonneurs;biberonneur;nom
biberons;biberon;nom
bibi;bibi;nom
bibiche;bibiche;nom
bibine;bibine;nom
bibines;bibine;nom
bibis;bibi;nom
bibite;bibite;nom
bible;bible;nom
bibles;bible;nom
bibliobus;bibliobus;nom
bibliographe;bibliographe;nom
bibliographie;bibliographie;nom
bibliographies;bibliographie;nom
bibliographique;bibliographique;adj
bibliographiques;bibliographique;adj
bibliophile;bibliophile;nom
bibliophiles;bibliophile;nom
bibliophilie;bibliophilie;nom
bibliophilique;bibliophilique;adj
bibliothécaire;bibliothécaire;nom
bibliothécaires;bibliothécaire;nom
bibliothèque;bibliothèque;nom
bibliothèques;bibliothèque;nom
biblique;biblique;adj
bibliquement;bibliquement;adv
bibliques;biblique;adj
bic;bic;nom
bicamérale;bicaméral;adj
bicarbonate;bicarbonate;nom
bicarbonates;bicarbonate;nom
bicause;bicause;pre
bicentenaire;bicentenaire;nom
bicéphale;bicéphale;adj
bicéphales;bicéphale;adj
bicéphalie;bicéphalie;nom
biceps;biceps;nom
bichais;bicher;ver
bichait;bicher;ver
bichant;bicher;ver
biche;biche;nom
biché;bicher;ver
bicher;bicher;ver
biches;biche;nom
bichette;bichette;nom
bichez;bicher;ver
bichon;bichon;nom
bichonnait;bichonner;ver
bichonnant;bichonner;ver
bichonne;bichonner;ver
bichonné;bichonner;ver
bichonnée;bichonner;ver
bichonner;bichonner;ver
bichonnerai;bichonner;ver
bichonnez;bichonner;ver
biclou;biclou;nom
biclous;biclou;nom
bicolore;bicolore;adj
bicolores;bicolore;adj
biconvexes;biconvexe;adj
bicoque;bicoque;nom
bicoques;bicoque;nom
bicorne;bicorne;nom
bicornes;bicorne;adj
bicot;bicot;nom
bicots;bicot;nom
biculturelle;biculturel;adj
bicuspide;bicuspide;adj
bicycle;bicycle;nom
bicycles;bicycle;nom
bicyclette;bicyclette;nom
bicyclettes;bicyclette;nom
bicycliste;bicycliste;adj
bidasse;bidasse;nom
